DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,FacilityType,Permit_status,Approved,Received,PriorPermit,ExpirationDate
1,Monday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,9:00,16:00,9101000,9/19/17 16:09,10/12/17 16:04,3727,96,N,"Kabob Trolley, LLC",6009230.879,2111606.368,37.77858956,-122.4116262,"(37.7785895598036, -122.411626152794)",Truck,APPROVED,2/12/18,9/19/17,,7/15/18
4,Thursday,10AM,3PM,17MFF-0191,253 DRUMM ST,10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013324,,10:00,15:00,4972000,10/25/11 8:22,10/25/11 8:22,203,13,N,Wu Wei LLC dba MoBowl,6013602.811,2117830.09,37.79592273,-122.3969383,"(37.795922726101, -122.396938330446)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
0,Sunday,10AM,11PM,17MFF-0191,370 DRUMM ST,Set-up at 10 Washington St: 10:00am-11:00pm,"Various types of meat, veggie, and seafood bowls.",1013323,,10:00,23:00,13403000,10/25/11 8:21,10/25/11 8:21,201,12,N,Wu Wei LLC dba MoBowl,6013588.438,2118217.065,37.79698447,-122.3970152,"(37.796984468437, -122.397015212071)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
1,Monday,10AM,3PM,17MFF-0191,75 HOWARD ST,Set-up at 201 Steuart St: 10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013322,,10:00,15:00,12160001,10/25/11 8:20,10/25/11 8:20,3741,31,N,Wu Wei LLC dba MoBowl,6014987.218,2116234.805,37.79161941,-122.3920364,"(37.7916194086556, -122.392036366449)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
3,Wednesday,10AM,3PM,17MFF-0191,75 HOWARD ST,Set-up at 201 Steuart St: 10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013322,,10:00,15:00,12160001,10/25/11 8:20,10/25/11 8:20,3741,31,N,Wu Wei LLC dba MoBowl,6014987.218,2116234.805,37.79161941,-122.3920364,"(37.7916194086556, -122.392036366449)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
2,Tuesday,10AM,3PM,17MFF-0191,253 DRUMM ST,10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013324,,10:00,15:00,4972000,10/25/11 8:22,10/25/11 8:22,203,13,N,Wu Wei LLC dba MoBowl,6013602.811,2117830.09,37.79592273,-122.3969383,"(37.795922726101, -122.396938330446)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
1,Monday,10AM,2PM,17MFF-0191,500 HOWARD ST,10:30am-1:30pm,"Various types of meat, veggie, and seafood bowls.",1013320,,10:00,14:00,7033000,10/25/11 8:18,10/25/11 8:19,3721,11,N,Wu Wei LLC dba MoBowl,6013778.739,2115134.048,37.78852982,-122.3961405,"(37.7885298177102, -122.396140544185)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
5,Friday,10AM,2PM,17MFF-0191,500 HOWARD ST,10:30am-1:30pm,"Various types of meat, veggie, and seafood bowls.",1013320,,10:00,14:00,7033000,10/25/11 8:18,10/25/11 8:19,3721,11,N,Wu Wei LLC dba MoBowl,6013778.739,2115134.048,37.78852982,-122.3961405,"(37.7885298177102, -122.396140544185)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
0,Sunday,8AM,5PM,17MFF-0195,1888 MISSION ST,Truck located on Mission St. approximately 40 feet north of the Mission and 15th St. intersection.,"Tacos, Burritos, Quesadillas, Various Drinks",1036076,,8:00,17:00,9114000,11/8/17 9:43,11/8/17 9:44,3547,3,N,CARDONA'S FOOD TRUCK,6006748.628,2107389.255,37.76687082,-122.4199139,"(37.7668708192823, -122.41991389794)",Truck,APPROVED,12/29/17,10/26/17,,7/15/18
3,Wednesday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,8:00,17:00,9114000,11/8/17 9:41,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)",Truck,APPROVED,12/29/17,10/26/17,,7/15/18
